InningID,GameID,InningNumber,AwayTeamRuns,HomeTeamRuns
270669,44926,1,0,0
270670,44926,2,0,2
270671,44926,3,0,0
270672,44926,4,0,0
270673,44926,5,0,0
270674,44926,6,0,1
270675,44926,7,0,0
270676,44926,8,0,1
270677,44926,9,1,
270678,44927,1,2,0
270679,44927,2,0,0
270680,44927,3,0,1
270681,44927,4,1,0
270682,44927,5,0,0
270683,44927,6,0,0
270684,44927,7,0,0
270685,44927,8,2,0
270686,44927,9,0,2
270687,44928,1,0,1
270688,44928,2,0,0
