StatID	TeamID	SeasonType	Season	Name	Team	GameID	OpponentID	Opponent	Day	DateTime	HomeOrAway	IsGameOver	GlobalOpponentID	Updated	Games	FantasyPoints	AtBats	Runs	Hits	Singles	Doubles	Triples	HomeRuns	RunsBattedIn	BattingAverage	Outs	Strikeouts	Walks	HitByPitch	Sacrifices	SacrificeFlies	GroundIntoDoublePlay	StolenBases	CaughtStealing	PitchesSeen	OnBasePercentage	SluggingPercentage	OnBasePlusSlugging	Errors	Wins	Losses	Saves	InningsPitchedDecimal	TotalOutsPitched	InningsPitchedFull	InningsPitchedOuts	EarnedRunAverage	PitchingHits	PitchingRuns	PitchingEarnedRuns	PitchingWalks	PitchingStrikeouts	PitchingHomeRuns	PitchesThrown	PitchesThrownStrikes	WalksHitsPerInningsPitched	PitchingBattingAverageAgainst	GrandSlams	FantasyPointsFanDuel	FantasyPointsDraftKings	FantasyPointsYahoo	PlateAppearances	TotalBases	FlyOuts	GroundOuts	LineOuts	PopOuts	IntentionalWalks	ReachedOnError	BallsInPlay	BattingAverageOnBallsInPlay	WeightedOnBasePercentage	PitchingSingles	PitchingDoubles	PitchingTriples	PitchingGrandSlams	PitchingHitByPitch	PitchingSacrifices	PitchingSacrificeFlies	PitchingGroundIntoDoublePlay	PitchingCompleteGames	PitchingShutOuts	PitchingNoHitters	PitchingPerfectGames	PitchingPlateAppearances	PitchingTotalBases	PitchingFlyOuts	PitchingGroundOuts	PitchingLineOuts	PitchingPopOuts	PitchingIntentionalWalks	PitchingReachedOnError	PitchingCatchersInterference	PitchingBallsInPlay	PitchingOnBasePercentage	PitchingSluggingPercentage	PitchingOnBasePlusSlugging	PitchingStrikeoutsPerNineInnings	PitchingWalksPerNineInnings	PitchingBattingAverageOnBallsInPlay	PitchingWeightedOnBasePercentage	DoublePlays	PitchingDoublePlays	BattingOrderConfirmed	IsolatedPower	FieldingIndependentPitching	PitchingQualityStarts
1085120	10	1	2016	Cleveland Indians	CLE	44933	25	BOS	4/4/2016 12:00:00 AM	4/4/2016 4:10:00 PM	HOME	False	10000025	3/29/2017 11:06:27 AM	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1085121	25	1	2016	Boston Red Sox	BOS	44933	10	CLE	4/4/2016 12:00:00 AM	4/4/2016 4:10:00 PM	AWAY	False	10000010	3/29/2017 11:06:27 AM	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1085056	2	1	2016	Cincinnati Reds	CIN	44935	12	PHI	4/4/2016 12:00:00 AM	4/4/2016 4:10:00 PM	HOME	True	10000012	3/29/2017 11:06:27 AM	1	35.00	28.00	6.00	6.00	3.00	3.00	0.00	0.00	5.00	0.214	22.00	7.00	3.00	1.00	0.00	1.00	1.00	0.00	0.00	133.00	0.303	0.321	0.624	0.00	1.00	0.00	0.00	9.00	27.00	9.00	0.00	2	6.00	2.00	2.00	1.00	10.00	1.00	134.00	95.00	0.778	0.182	0.00	75.70	54.00	47.10	33.00	9.00	3.00	7.00	1.00	2.00	0.00	1.00	22.00	0.273	0.303	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	34.00	10.00	5.00	6.00	4.00	1.00	0.00	0.00	0.00	22.00	0.206	0.303	0.509	0.1	1	0.227	0.235	0.00	0.00		0.107	2.71	0.00
1085057	12	1	2016	Philadelphia Phillies	PHI	44935	2	CIN	4/4/2016 12:00:00 AM	4/4/2016 4:10:00 PM	AWAY	True	10000002	3/29/2017 11:06:27 AM	1	18.00	33.00	2.00	6.00	4.00	1.00	0.00	1.00	2.00	0.182	27.00	10.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	134.00	0.206	0.303	0.509	2.00	0.00	1.00	0.00	8.00	24.00	8.00	0.00	5.625	6.00	6.00	5.00	3.00	7.00	0.00	133.00	84.00	1.125	0.214	0.00	46.40	37.00	30.30	34.00	10.00	4.00	6.00	4.00	1.00	0.00	0.00	22.00	0.227	0.235	3.00	3.00	0.00	0.00	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	33.00	9.00	3.00	7.00	1.00	2.00	0.00	1.00	0.00	22.00	0.303	0.321	0.624	0.13	0.30	0.273	0.303	0.00	0.00		0.121	2.90	0.00
1085076	26	1	2016	Atlanta Braves	ATL	44934	35	WSH	4/4/2016 12:00:00 AM	4/4/2016 4:10:00 PM	HOME	True	10000035	3/29/2017 11:06:27 AM	1	29.00	32.00	3.00	4.00	2.00	0.00	0.00	2.00	3.00	0.125	28.00	11.00	5.00	1.00	0.00	0.00	1.00	0.00	0.00	155.00	0.263	0.312	0.575	2.00	0.00	1.00	0.00	10.00	30.00	10.00	0.00	2.7	8.00	4.00	3.00	5.00	11.00	2.00	169.00	104.00	1.3	0.216	0.00	68.10	50.00	44.40	38.00	10.00	2.00	5.00	1.00	6.00	0.00	0.00	19.00	0.105	0.263	5.00	1.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	43.00	15.00	6.00	6.00	2.00	0.00	0.00	2.00	0.00	25.00	0.302	0.405	0.707	0.10	0.22	0.24	0.349	0.00	0.00		0.187	5.05	0.00
1085077	35	1	2016	Washington Nationals	WSH	44934	26	ATL	4/4/2016 12:00:00 AM	4/4/2016 4:10:00 PM	AWAY	True	10000026	3/29/2017 11:06:27 AM	1	42.00	37.00	4.00	8.00	5.00	1.00	0.00	2.00	4.00	0.216	29.00	11.00	5.00	0.00	0.00	1.00	1.00	1.00	1.00	169.00	0.302	0.405	0.707	0.00	1.00	0.00	1.00	10.00	30.00	10.00	0.00	2.7	4.00	3.00	3.00	5.00	11.00	2.00	155.00	99.00	0.9	0.125	0.00	92.80	71.00	60.60	43.00	15.00	6.00	6.00	2.00	0.00	0.00	2.00	25.00	0.24	0.349	2.00	0.00	0.00	0.00	1.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	38.00	10.00	2.00	5.00	1.00	6.00	0.00	0.00	0.00	19.00	0.263	0.312	0.575	0.10	0.22	0.105	0.263	0.00	0.00		0.189	5.35	0.00
1085036	19	1	2016	Baltimore Orioles	BAL	44931	20	MIN	4/4/2016 12:00:00 AM	4/4/2016 4:45:00 PM	HOME	True	10000020	3/29/2017 11:06:27 AM	1	37.00	36.00	3.00	10.00	7.00	3.00	0.00	0.00	3.00	0.278	26.00	10.00	5.00	0.00	0.00	0.00	0.00	1.00	0.00	150.00	0.366	0.361	0.727	0.00	1.00	0.00	0.00	9.00	27.00	9.00	0.00	2	7.00	2.00	2.00	0.00	10.00	0.00	128.00	92.00	0.778	0.212	0.00	80.10	63.00	52.80	41.00	13.00	6.00	2.00	3.00	1.00	0.00	0.00	26.00	0.385	0.341	4.00	3.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	35.00	10.00	4.00	6.00	3.00	2.00	0.00	0.00	0.00	24.00	0.229	0.303	0.532	0.1	0	0.292	0.229	0.00	0.00		0.083	1.26	0.00
1085037	20	1	2016	Minnesota Twins	MIN	44931	19	BAL	4/4/2016 12:00:00 AM	4/4/2016 4:45:00 PM	AWAY	True	10000019	3/29/2017 11:06:27 AM	1	20.66	33.00	2.00	7.00	4.00	3.00	0.00	0.00	2.00	0.212	26.00	10.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	128.00	0.229	0.303	0.532	0.00	0.00	1.00	0.00	8.6666666667	26.00	8.00	2.00	3.115	10.00	3.00	3.00	5.00	10.00	0.00	150.00	94.00	1.731	0.278	0.00	46.40	37.00	30.30	35.00	10.00	4.00	6.00	3.00	2.00	0.00	0.00	24.00	0.292	0.229	7.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	41.00	13.00	6.00	2.00	3.00	1.00	0.00	0.00	0.00	26.00	0.366	0.361	0.727	0.10	0.19	0.385	0.341	0.00	0.00		0.091	2.53	0.00
1085189	1	1	2016	Los Angeles Dodgers	LAD	44936	33	SD	4/4/2016 12:00:00 AM	4/4/2016 7:05:00 PM	AWAY	True	10000033	3/29/2017 11:06:27 AM	1	73.00	42.00	15.00	17.00	9.00	7.00	1.00	0.00	13.00	0.405	25.00	10.00	4.00	2.00	0.00	1.00	0.00	0.00	0.00	180.00	0.469	0.619	1.088	0.00	1.00	0.00	0.00	9.00	27.00	9.00	0.00	0	4.00	0.00	0.00	2.00	10.00	0.00	139.00	90.00	0.667	0.129	0.00	189.50	138.00	117.60	49.00	26.00	2.00	10.00	1.00	1.00	0.00	0.00	33.00	0.515	0.469	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.00	5.00	6.00	6.00	3.00	2.00	0.00	0.00	0.00	21.00	0.182	0.161	0.343	0.1	0.5	0.190	0.152	0.00	0.00		0.214	1.60	0.00
1085190	33	1	2016	San Diego Padres	SD	44936	1	LAD	4/4/2016 12:00:00 AM	4/4/2016 7:05:00 PM	HOME	True	10000001	3/29/2017 11:06:27 AM	1	2.00	31.00	0.00	4.00	3.00	1.00	0.00	0.00	0.00	0.129	27.00	10.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	139.00	0.182	0.161	0.343	2.00	0.00	1.00	0.00	9.00	27.00	9.00	0.00	14	17.00	15.00	14.00	4.00	10.00	0.00	180.00	115.00	2.333	0.405	0.00	21.00	18.00	14.70	33.00	5.00	6.00	6.00	3.00	2.00	0.00	0.00	21.00	0.190	0.152	9.00	7.00	1.00	0.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	49.00	26.00	2.00	10.00	1.00	1.00	0.00	0.00	0.00	33.00	0.469	0.619	1.088	0.1	0.25	0.515	0.469	0.00	0.00		0.032	2.93	0.00
