StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,PositionCategory,Started,BattingOrder,AverageDraftPosition,Updated,Games,FantasyPoints,AtBats,Runs,Hits,Singles,Doubles,Triples,HomeRuns,RunsBattedIn,BattingAverage,Outs,Strikeouts,Walks,HitByPitch,Sacrifices,SacrificeFlies,GroundIntoDoublePlay,StolenBases,CaughtStealing,PitchesSeen,OnBasePercentage,SluggingPercentage,OnBasePlusSlugging,Errors,Wins,Losses,Saves,InningsPitchedDecimal,TotalOutsPitched,InningsPitchedFull,InningsPitchedOuts,EarnedRunAverage,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingWalks,PitchingStrikeouts,PitchingHomeRuns,PitchesThrown,PitchesThrownStrikes,WalksHitsPerInningsPitched,PitchingBattingAverageAgainst,GrandSlams,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlateAppearances,TotalBases,FlyOuts,GroundOuts,LineOuts,PopOuts,IntentionalWalks,ReachedOnError,BallsInPlay,BattingAverageOnBallsInPlay,WeightedOnBasePercentage,PitchingSingles,PitchingDoubles,PitchingTriples,PitchingGrandSlams,PitchingHitByPitch,PitchingSacrifices,PitchingSacrificeFlies,PitchingGroundIntoDoublePlay,PitchingCompleteGames,PitchingShutOuts,PitchingNoHitters,PitchingPerfectGames,PitchingPlateAppearances,PitchingTotalBases,PitchingFlyOuts,PitchingGroundOuts,PitchingLineOuts,PitchingPopOuts,PitchingIntentionalWalks,PitchingReachedOnError,PitchingCatchersInterference,PitchingBallsInPlay,PitchingOnBasePercentage,PitchingSluggingPercentage,PitchingOnBasePlusSlugging,PitchingStrikeoutsPerNineInnings,PitchingWalksPerNineInnings,PitchingBattingAverageOnBallsInPlay,PitchingWeightedOnBasePercentage,DoublePlays,PitchingDoublePlays,BattingOrderConfirmed,IsolatedPower,FieldingIndependentPitching,PitchingQualityStarts
1345779,15,10001136,3,2016,Joe Panik,SF,2B,IF,4,,,3/29/2017 11:06:27 AM,4,7.00,9.00,0.00,4.00,3.00,1.00,0.00,0.00,0.00,0.444,5.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,41.00,0.545,0.556,1.101,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,21.00,18.00,14.70,11.00,5.00,0.00,2.00,0.00,0.00,0.00,0.00,6.00,0.667,0.455,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.112,0,0.00
1345836,19,10003178,3,2016,Mychal Givens,BAL,RP,P,0,,,3/29/2017 11:06:27 AM,1,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,2.3333333333,7.00,2.00,1.00,0,0.00,0.00,0.00,0.00,3.00,0.00,19.00,11.00,0,0,0.00,16.00,11.25,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,6.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,3.00,0,0,0,0.09,0,0,0,0.00,1.00,,0,0.15,0.00
1345839,18,10003329,3,2016,Ty Kelly,NYM,3B,IF,0,,,3/29/2017 11:06:27 AM,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0,0,0.00
1345842,3,10003346,3,2016,Devon Travis,TOR,2B,IF,3,,,3/29/2017 11:06:27 AM,3,1.00,8.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.125,7.00,1.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,23.00,0.125,0.125,0.250,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,3.00,3.00,2.10,8.00,1.00,2.00,0.00,0.00,1.00,0.00,0.00,7.00,0.143,0.125,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,3.00,0.00,,0.000,0,0.00
1346025,10,10000348,3,2016,Lonnie Chisenhall,CLE,RF,OF,14,,,3/29/2017 11:06:27 AM,14,12.00,31.00,1.00,7.00,7.00,0.00,0.00,0.00,1.00,0.226,24.00,8.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,128.00,0.294,0.226,0.520,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,36.70,31.00,24.60,34.00,7.00,3.00,6.00,1.00,1.00,0.00,1.00,23.00,0.304,0.265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,1.00,0.00,,0.000,0,0.00
1346028,10,10000350,3,2016,Jason Kipnis,CLE,2B,IF,15,,,3/29/2017 11:06:27 AM,15,35.00,38.00,5.00,10.00,4.00,3.00,0.00,3.00,5.00,0.263,28.00,10.00,2.00,1.00,0.00,0.00,1.00,0.00,0.00,135.00,0.317,0.579,0.896,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,108.50,83.00,70.50,41.00,22.00,5.00,7.00,1.00,1.00,0.00,0.00,25.00,0.28,0.366,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,1.00,0.00,,0.316,0,0.00
1346088,25,10001354,3,2016,Sandy Leon,BOS,C,IF,3,,,3/29/2017 11:06:27 AM,3,7.00,8.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.125,7.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,42.00,0.222,0.5,0.722,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,21.70,16.00,14.10,9.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00,0,0.333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.375,0,0.00
1346091,28,10001357,3,2016,Ian Desmond,TEX,CF,OF,3,,,3/29/2017 11:06:27 AM,3,4.00,11.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.091,10.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.091,0.182,0.273,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,12.70,9.00,7.80,11.00,2.00,3.00,4.00,1.00,0.00,0.00,0.00,9.00,0.111,0.091,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.091,0,0.00
1346440,9,10000213,3,2016,Javier Baez,CHC,3B,IF,17,,,3/29/2017 11:06:27 AM,17,38.00,49.00,7.00,13.00,7.00,4.00,0.00,2.00,7.00,0.265,36.00,17.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,173.00,0.28,0.469,0.749,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,118.90,91.00,75.60,50.00,23.00,7.00,7.00,2.00,1.00,0.00,1.00,30.00,0.367,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,1.00,0.00,,0.204,0,0.00
1346443,9,10000215,3,2016,Tommy La Stella,CHC,3B,IF,0,,,3/29/2017 11:06:27 AM,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0,0,0.00
